"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ABI1",929.166191811105,0.0688514504165097,0.10163649265965,0.677428437510848,0.498134160485332,0.794623710395849
"ABI2",1545.10740979193,-0.088305643581583,0.10261203543398,-0.860577837756646,0.389470596393022,0.724249653855503
"ABI3",0.675916333855334,0.124651913404572,2.44848114307443,0.0509098931626049,0.959397322130516,NA
"ABI3BP",11083.3723485101,0.573350250403454,0.0829756680028001,6.90986001322828,4.85132189943223e-12,7.61482189226544e-10
"ABL1",3367.59122783565,0.287162477333253,0.0847661366257088,3.38770278750865,0.000704805936879459,0.0122399920235258
"ABL2",767.436528183063,0.0187180828158722,0.149800801612686,0.124953155219211,0.900560636307687,0.967140990784184
"ABLIM1",179.286696279905,0.481644312512209,0.160722599770946,2.99674291729119,0.00272880731298591,0.0359100016904853
"ABLIM2",27.2660714246745,-0.667715596101323,0.375079619038508,-1.78019695608353,0.0750437333901591,0.33642391744091
"ABLIM3",1109.93972115789,0.122958155903761,0.102510403513248,1.19947002147806,0.230345234775386,0.587382602985658
"ABO",0,NA,NA,NA,NA,NA
"ABR",1282.93823957011,0.388781304178627,0.0988452056665677,3.93323380286237,8.38106451729583e-05,0.00209887685704727
"ABRA",0.14583825173883,-0.808958467639697,4.0804728567969,-0.198251157654977,0.842848563693048,NA
"ABRACL",226.322153209601,-0.482420531568007,0.144403366898551,-3.34078451167227,0.000835420359723384,0.0139809021569639
"ABRAXAS1",478.949938610995,-0.0114644947319331,0.111617064250224,-0.102712742078863,0.918190960418909,0.972224667908157
"ABRAXAS2",475.978390883015,-0.139565717938131,0.116258826454986,-1.20047416780153,0.229955239282632,0.587239195827666
"ABT1",236.955048388814,-0.00183190529100779,0.173400982493134,-0.0105645611960724,0.99157085652634,0.997908044192474
"ABTB1",401.003497283799,0.279482288901552,0.155577949193676,1.79641324718601,0.0724288185711037,0.330624613995914
"ABTB2",273.856346491439,0.22301382715877,0.132524621358021,1.68281052134673,0.0924117775979,0.376113913947342
"ACAA1",1111.46050264375,-0.101606807250101,0.166678386506936,-0.609597977155081,0.542128151951862,0.821547698456306
"ACAA2",1043.41627799726,-0.125874329729419,0.132645302196362,-0.948954298758954,0.342643856269517,0.687544219389811
"ACACA",2236.43513236913,0.221146157584319,0.093484334290144,2.36559589650556,0.018001080711095,0.138079399970061
"ACACB",241.904779659188,0.531905133361445,0.18860943061953,2.82014070884092,0.00480025955348255,0.0548924311084819
"ACAD10",482.842124536375,0.294451314526593,0.154413616953836,1.90689992460072,0.0565335479560423,0.288378646347423
"ACAD11",66.909181592823,0.399194170777296,0.270796179675181,1.47414993540946,0.140441226098955,0.466832862697041
"ACAD8",375.983645888621,0.103030338094757,0.133371178072662,0.772508270404752,0.43981345044808,0.758332936342973
"ACAD9",736.086624764283,-0.154044358195385,0.114974616392107,-1.33981189091369,0.180306508802718,0.526581920928803
"ACADL",0.174908655330474,1.11459488400279,4.0804728567969,0.27315336313197,0.784735327961881,NA
"ACADM",742.916143109314,-0.259415092602133,0.113616695524322,-2.28324799806027,0.0224157642653491,0.160844350948941
"ACADS",147.350274740955,0.0950071177407792,0.173928577919506,0.546242135002957,0.584899506348654,0.842747699220919
"ACADSB",548.807414490153,0.053077030482208,0.142041412559543,0.373672927674937,0.708647669194187,0.90155161175582
"ACADVL",6028.46249240395,-0.0943861299027769,0.113818407837652,-0.829269462611064,0.406951946644177,0.735766337635673
"ACAN",306.447440561278,-1.64239269368066,0.166837707022017,-9.84425357430692,7.25759362328734e-23,4.72759648620937e-20
"ACAP1",11.0165147706704,-0.192947525896383,0.609628482640588,-0.3165001823088,0.751622886814204,NA
"ACAP2",1528.52107707693,0.123188391084278,0.121581276690027,1.01321843657185,0.31095583612099,0.662530358989872
"ACAP3",931.624935535524,0.211340959877954,0.241264757514814,0.875971120087762,0.381045734073694,0.717129220915652
"ACAT1",1065.02201913955,-0.121446058405089,0.108942380610544,-1.11477331158426,0.26494757588435,0.626449549659041
"ACAT2",513.000833267521,0.182095920930976,0.174690837562758,1.04238964946034,0.297231063325536,0.651398567186077
"ACBD3",1763.42643281087,-0.0882564824020793,0.0890866855037625,-0.990680951962814,0.321841395033376,0.672378078013923
"ACBD3-AS1",5.57805343471302,-0.365938592900948,0.76313009006274,-0.479523213232049,0.631566458227287,NA
"ACBD4",233.268718067206,0.0012661691199106,0.177511153772179,0.00713289893623039,0.994308818324614,0.998672677018057
"ACBD5",545.082382691358,-0.00575500107530095,0.113297249693432,-0.0507955938107344,0.959488401976155,0.985821364427866
"ACBD6",544.780944091297,0.183527325729532,0.129417017235157,1.41810814103414,0.156159194805903,0.490906841816991
